id,name,description,Categories,price,stock,rating,reviews,origin,organic,peeling,peeling_price,sku,image
35,"Choux","Le chou est une plante potagère de la famille des Brassicacées, cultivée pour ses feuilles comestibles formant une pomme.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-035","https://images.unsplash.com/photo-1594282486552-05a3f7fa6ecf?q=80&w=800&auto=format&fit=crop"
36,"Brocolis","Le brocoli est une variété de chou de la famille des Brassicacées, cultivée pour ses bouquets de fleurs immatures comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-036","https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?q=80&w=800&auto=format&fit=crop"
37,"Choux-fleurs","Le chou-fleur est une variété de chou de la famille des Brassicacées, cultivée pour son inflorescence charnue et comestible.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-037","https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?q=80&w=800&auto=format&fit=crop"
38,"Épinards","L'épinard est une plante potagère de la famille des Chénopodiacées, cultivée pour ses feuilles comestibles riches en fer.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-038","https://images.unsplash.com/photo-1576045057995-568f588f82fb?q=80&w=800&auto=format&fit=crop"
39,"Haricots verts","Le haricot vert est le fruit immature du haricot commun, consommé comme légume. Il est riche en fibres et en vitamines.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-039","https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?q=80&w=800&auto=format&fit=crop"
40,"Petits pois","Le petit pois est la graine immature du pois cultivé, consommée comme légume. Il est riche en protéines et en fibres.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-040","https://images.unsplash.com/photo-1589927986089-35812388d1f4?q=80&w=800&auto=format&fit=crop"
41,"Maïs","Le maïs est une céréale de la famille des Poacées, cultivée pour ses grains comestibles riches en amidon.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-041","https://images.unsplash.com/photo-1551754655-cd27e38d2076?q=80&w=800&auto=format&fit=crop"
42,"Champignons","Les champignons comestibles sont des organismes appartenant au règne des Fungi, cultivés ou cueillis pour leur saveur et leurs qualités nutritionnelles.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-042","https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=800&auto=format&fit=crop"
43,"Asperges","L'asperge est une plante potagère de la famille des Liliacées, cultivée pour ses jeunes pousses comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-043","https://images.unsplash.com/photo-1588167056547-c183313da47c?q=80&w=800&auto=format&fit=crop"
44,"Artichauts","L'artichaut est une plante potagère de la famille des Astéracées, cultivée pour son capitule floral immature comestible.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-044","https://images.unsplash.com/photo-1551465222-21f38590e0e6?q=80&w=800&auto=format&fit=crop"
45,"Radis","Le radis est une plante potagère de la famille des Brassicacées, cultivée pour sa racine comestible au goût piquant.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-045","https://images.unsplash.com/photo-1582284540020-8acbe03f4924?q=80&w=800&auto=format&fit=crop"
46,"Betteraves","La betterave est une plante potagère de la famille des Chénopodiacées, cultivée pour sa racine charnue comestible.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-046","https://images.unsplash.com/photo-1593105522750-e0ec5071eb1f?q=80&w=800&auto=format&fit=crop"
47,"Navets","Le navet est une plante potagère de la famille des Brassicacées, cultivée pour sa racine charnue comestible.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-047","https://images.unsplash.com/photo-1590165482129-1b8b27698780?q=80&w=800&auto=format&fit=crop"
48,"Céleri","Le céleri est une plante potagère de la famille des Apiacées, cultivée pour ses tiges, ses feuilles ou sa racine comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-048","https://images.unsplash.com/photo-1594060588530-5d1b65981350?q=80&w=800&auto=format&fit=crop"
49,"Fenouil","Le fenouil est une plante potagère de la famille des Apiacées, cultivée pour son bulbe charnu et parfumé, consommé comme légume.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-049","https://images.unsplash.com/photo-1627735747011-b8d19d8f4b98?q=80&w=800&auto=format&fit=crop"
50,"Ail","L'ail est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe composé de caïeux, utilisé comme condiment.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-050","https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?q=80&w=800&auto=format&fit=crop"
